# 読み分けのある語の候補（自分で選んだもの）。tools/verify-ambiguous.py がデジタル大辞泉の見出しで確かめる
# 形式: 解析器のトークンの表記<TAB>見出し:見出しの読み:この表記での読み[:引くページ]（, 区切りで 2 つ以上）
# 引くページ: 同じ表記の別の見出しがコトバンクで別のページにあるとき（あく【明く／開く／空く】は「明く」のページ）
# 見出しの【】に表記が無いものは捨てる（推測で読みを足さない）
行っ	行く:いく:いっ,行う:おこなう:おこなっ
開く	開く:あく:あく:明く,開く:ひらく:ひらく
開い	開く:あく:あい:明く,開く:ひらく:ひらい
開き	開く:あく:あき:明く,開く:ひらく:ひらき
開か	開く:あく:あか:明く,開く:ひらく:ひらか
開け	開ける:あける:あけ:明ける,開ける:ひらける:ひらけ
開ける	開ける:あける:あける:明ける,開ける:ひらける:ひらける
上手	上手:じょうず:じょうず,上手:うわて:うわて,上手:かみて:かみて
下手	下手:へた:へた,下手:したて:したて,下手:しもて:しもて
上り	上り:のぼり:のぼり,上り:あがり:あがり
上る	上る:のぼる:のぼる,上る:あがる:あがる
下り	下り:くだり:くだり,下り:おり:おり,下り:さがり:さがり
明日	明日:あした:あした,明日:あす:あす,明日:みょうにち:みょうにち
今日	今日:きょう:きょう,今日:こんにち:こんにち
生物	生物:せいぶつ:せいぶつ,生物:なまもの:なまもの
一日	一日:ついたち:ついたち,一日:いちにち:いちにち,一日:いちじつ:いちじつ
人気	人気:にんき:にんき,人気:ひとけ:ひとけ,人気:じんき:じんき
最中	最中:さいちゅう:さいちゅう,最中:さなか:さなか,最中:もなか:もなか
色紙	色紙:しきし:しきし,色紙:いろがみ:いろがみ
風車	風車:ふうしゃ:ふうしゃ,風車:かざぐるま:かざぐるま
目下	目下:もっか:もっか,目下:めした:めした
見物	見物:けんぶつ:けんぶつ,見物:みもの:みもの
黒子	黒子:ほくろ:ほくろ,黒子:くろご:くろご:黒衣
面目	面目:めんぼく:めんぼく,面目:めんもく:めんもく
大家	大家:おおや:おおや,大家:たいか:たいか
分別	分別:ふんべつ:ふんべつ,分別:ぶんべつ:ぶんべつ
市場	市場:いちば:いちば,市場:しじょう:しじょう
工夫	工夫:くふう:くふう,工夫:こうふ:こうふ
心中	心中:しんじゅう:しんじゅう,心中:しんちゅう:しんちゅう
寒気	寒気:さむけ:さむけ,寒気:かんき:かんき
草原	草原:そうげん:そうげん,草原:くさはら:くさはら
一目	一目:ひとめ:ひとめ,一目:いちもく:いちもく
気質	気質:きしつ:きしつ,気質:かたぎ:かたぎ
十分	十分:じゅうぶん:じゅうぶん,十分:じっぷん:じっぷん
大事	大事:だいじ:だいじ,大事:おおごと:おおごと
牧場	牧場:ぼくじょう:ぼくじょう,牧場:まきば:まきば
一行	一行:いっこう:いっこう,一行:いちぎょう:いちぎょう
仮名	仮名:かな:かな,仮名:かめい:かめい
何人	何人:なんにん:なんにん,何人:なんぴと:なんぴと,何人:なにびと:なにびと
方々	方方:かたがた:かたがた,方方:ほうぼう:ほうぼう
入る	入る:はいる:はいる,入る:いる:いる
入っ	入る:はいる:はいっ,入る:いる:いっ
注ぐ	注ぐ:そそぐ:そそぐ,注ぐ:つぐ:つぐ
注い	注ぐ:そそぐ:そそい,注ぐ:つぐ:つい
弾く	弾く:ひく:ひく,弾く:はじく:はじく
弾い	弾く:ひく:ひい,弾く:はじく:はじい
弾き	弾く:ひく:ひき,弾く:はじく:はじき
辛い	辛い:からい:からい,辛い:つらい:つらい
被る	被る:かぶる:かぶる,被る:こうむる:こうむる
被っ	被る:かぶる:かぶっ,被る:こうむる:こうむっ
止め	止める:とめる:とめ,止める:やめる:やめ
止める	止める:とめる:とめる,止める:やめる:やめる
解く	解く:とく:とく,解く:ほどく:ほどく
解い	解く:とく:とい,解く:ほどく:ほどい
抱い	抱く:だく:だい,抱く:いだく:いだい
抱く	抱く:だく:だく,抱く:いだく:いだく
描く	描く:えがく:えがく,描く:かく:かく:書く
描い	描く:えがく:えがい,描く:かく:かい:書く
怒っ	怒る:おこる:おこっ,怒る:いかる:いかっ
怒る	怒る:おこる:おこる,怒る:いかる:いかる
堪え	堪える:たえる:たえ:耐える,堪える:こらえる:こらえ,堪える:こたえる:こたえ
酷い	酷い:ひどい:ひどい,酷い:むごい:むごい:惨い
退い	退く:しりぞく:しりぞい,退く:のく:のい,退く:どく:どい
空い	空く:あく:あい:明く,空く:すく:すい
避け	避ける:さける:さけ,避ける:よける:よけ
汚し	汚す:よごす:よごし,汚す:けがす:けがし
放っ	放つ:はなつ:はなっ,放る:ほうる:ほうっ
